search_term,name,category,size,pack,unit_price,case_price,url
pinto beans,Del Pasado Pinto Beans,"BEANS, PINTO, CANNED",#10 CN,6,4.79,25.09,https://www.chefstore.com/p/del-pasado-pinto-beans_6332332/
pinto beans,Teasdale Pinto Beans,"BEANS, PINTO, CANNED",30 OZ,12,2.69,28.69,https://www.chefstore.com/p/teasdale-pinto-beans_2052366/
pinto beans,Fiesta Black Beans,"BEANS, BLACK, DRY",25 LB,1,24.49,,https://www.chefstore.com/p/fiesta-black-beans_1465487/
pinto beans,Fiesta Black Beans,"BEANS, BLACK, DRY",50 LB,1,43.79,,https://www.chefstore.com/p/fiesta-black-beans_2450330/
pinto beans,El Mexicano Pinto Beans,"BEANS, PINTO, CANNED",#10 CN,6,9.39,53.99,https://www.chefstore.com/p/el-mexicano-pinto-beans_3179288/
pinto beans,Augusta Triple Cleaned Pinto Beans,"BEANS, PINTO, DRY",50 LB,1,42.69,,https://www.chefstore.com/p/augusta-triple-cleaned-pinto-beans_7478074/
pinto beans,Fiesta Brand Fiesta Pinto Beans,"BEANS, PINTO, DRY",50 LB,1,35.19,,https://www.chefstore.com/p/fiesta-brand-fiesta-pinto-beans_3557285/
pinto beans,Fiesta Pinto Beans,"BEANS, PINTO, DRY",25 LB,1,21.89,,https://www.chefstore.com/p/fiesta-pinto-beans_0448169/
pinto beans,Fiesta Light Red Kidney Beans,"BEANS, KIDNEY, DRY",10 LB,4,14.79,54.89,https://www.chefstore.com/p/fiesta-light-red-kidney-beans_1424252/
pinto beans,Fiesta Light Red Kidney Beans,"BEANS, KIDNEY, DRY",25 LB,1,27.49,,https://www.chefstore.com/p/fiesta-light-red-kidney-beans_8256418/
brown rice,Homai Medium Grain Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",25 LB,1,13.59,,https://www.chefstore.com/p/homai-medium-grain-brown-rice_3081590/
brown rice,Gulf Pacific Long Grain Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",25 LB,1,18.79,,https://www.chefstore.com/p/gulf-pacific-long-grain-brown-rice_1753937/
brown rice,Gulf Pacific Long Grain Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",50 LB,1,32.69,,https://www.chefstore.com/p/gulf-pacific-long-grain-brown-rice_2973647/
brown rice,Bob's Red Mill Brown Rice Flour Gluten Free,FLOUR,25 LB,1,36.69,,https://www.chefstore.com/p/bobs-red-mill-brown-rice-flour-gluten-free_4574638/
brown rice,Diamond G California Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",50 LB,1,31.69,,https://www.chefstore.com/p/diamond-g-california-brown-rice_0021873/
brown rice,Fiesta Long Grain Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",25 LB,1,17.59,,https://www.chefstore.com/p/fiesta-long-grain-brown-rice_2177436/
brown rice,Fiesta Medium Grain Brown Rice,"RICE, BROWN (DRY NOT PREPARED)",25 LB,1,22.49,,https://www.chefstore.com/p/fiesta-medium-grain-brown-rice_2026897/
brown rice,Royal Brown Basmati Rice,"RICE, IMPORTED, SPECIALTY",10 LB,1,12.89,,https://www.chefstore.com/p/royal-brown-basmati-rice_6859979/
tofu,House Foods America Firm Tofu,"VEGETABLES, OTHER, FRESH, VALUE ADDED",19 OZ,12,3.09,36.29,https://www.chefstore.com/p/house-foods-america-firm-tofu_2088473/
tofu,House Foods America Bulk Firm Tofu,"VEGETABLES, OTHER, FRESH, VALUE ADDED",2 LB,8,5.39,42.79,https://www.chefstore.com/p/house-foods-america-bulk-firm-tofu_1613553/
tofu,House Foods America Bulk Tofu Cutlet,"VEGETABLES, OTHER, FRESH, VALUE ADDED",2 LB,8,10.19,81.49,https://www.chefstore.com/p/house-foods-america-bulk-tofu-cutlet_1838077/
tofu,House Foods Bulk Tofu Organic,"VEGETABLES, OTHER, FRESH, VALUE ADDED",2 LB,8,5.99,47.69,https://www.chefstore.com/p/house-foods-bulk-tofu-organic_6705313/
tofu,House Foods Organic Tofu,"VEGETABLES, OTHER, FRESH, VALUE ADDED",14 OZ,12,2.79,33.29,https://www.chefstore.com/p/house-foods-organic-tofu_5045758/
tofu,House Foods Tofu Medium,"VEGETABLES, OTHER, FRESH, VALUE ADDED",19 OZ,12,2.49,29.49,https://www.chefstore.com/p/house-foods-tofu-medium_8648158/
tofu,House Foods Tofu Soft,"VEGETABLES, OTHER, FRESH, VALUE ADDED",19 OZ,12,2.49,29.49,https://www.chefstore.com/p/house-foods-tofu-soft_1644090/
tofu,Sweet Street Toffee Crunch Blondie Bar  1/4 Sheet 8 Slices,"BROWNIES, FROZEN",25 OZ,8,16.59,127.09,https://www.chefstore.com/p/sweet-street-toffee-crunch-blondie-bar-14-sheet-8-slices_0045138/
tofu,Da Vinci English Toffee Syrup,"SYRUP, FLAVORED, ITALIAN STYLE & DRINK FLAVORINGS",750 ML,4,7.99,31.49,https://www.chefstore.com/p/da-vinci-english-toffee-syrup_6279512/
tofu,Da Vinci Sugar Free English Toffee Syrup,"SYRUP, FLAVORED, ITALIAN STYLE & DRINK FLAVORINGS",750 ML,12,6.49,71.99,https://www.chefstore.com/p/da-vinci-sugar-free-english-toffee-syrup_3626948/
tahini,Acme Festival Organic Tahini,"FLAVOR ENHANCERS & NON-BAKERY INGREDIENTS, SHELF STABLE",5.5 LB,2,39.89,71.09,https://www.chefstore.com/p/acme-festival-organic-tahini_2837996/
tahini,Joyva Sesame Tahini,"FLAVOR ENHANCERS & NON-BAKERY INGREDIENTS, SHELF STABLE",15 OZ,12,8.09,91.79,https://www.chefstore.com/p/joyva-sesame-tahini_3075667/
tahini,Caffe D'Amore Mix Tahitian Vanilla Chai,"DRINK MIX, POWDERED, NOT FOR SSB MACHINE",3 LB,5,22.29,101.79,https://www.chefstore.com/p/caffe-damore-mix-tahitian-vanilla-chai_4132886/
miso paste,Chef Master Whip It! Charger Whipped Cream Nitrous Oxide,E & S MISC PARTS AND ACCESSORIES,24 EA,25,18.19,431.69,https://www.chefstore.com/p/chef-master-whip-it-charger-whipped-cream-nitrous-oxide_2233860/
olive oil,Tuttorosso Tutto Bene Olive Pomace Oil,"OIL, OLIVE",1 GA,6,26.29,146.49,https://www.chefstore.com/p/tuttorosso-tutto-bene-olive-pomace-oil_1017876/
