Recipe,Est. Servings,Recipe Total,Cost/Serving,Ingredient,Quantity,Ingredient Cost,Link
Brown Rice,60,$8.19,$0.14,Salt,3 TBSP,$0.04,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Brown rice,15 lb,$8.15,https://www.chefstore.com/p/homai-medium-grain-brown-rice_3081590/

Rice and Beans,100,$30.38,$0.30,Salt,1/4 cup,$0.05,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Cumin,4 cups (~1.4 lb),$11.87,https://www.chefstore.com/p/monarch-ground-cumin_8602175/
,,,,Black pepper,1/4 cup,$2.18,https://www.chefstore.com/p/monarch-coarse-ground-black-pepper_2900491/
,,,,Pinto beans (dried),10 lb,$7.04,https://www.chefstore.com/p/fiesta-brand-fiesta-pinto-beans_3557285/
,,,,Brown rice,15 lb,$8.15,https://www.chefstore.com/p/homai-medium-grain-brown-rice_3081590/
,,,,Onions,10 chopped (~5 lb),$1.09,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/

Tomato Sauce with Vegetables,80,$31.91,$0.40,Olive oil,1 cup,$1.64,https://www.chefstore.com/p/tuttorosso-tutto-bene-olive-pomace-oil_1017876/
,,,,Garlic,1 head,$0.53,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions,10 chopped (~5 lb),$1.09,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Crushed tomatoes,150 oz,$11.18,https://www.chefstore.com/p/summer-inside-crushed-tomato-in-puree_7298729/
,,,,Assorted vegetables,10 lb,$15.00,https://www.chefstore.com/search/produce/
,,,,Oregano,3 TBSP,$0.64,https://www.chefstore.com/p/mccormick-oregano-leaves_1011064/
,,,,Basil (dried),2 TBSP,$0.18,https://www.chefstore.com/p/monarch-dried-basil_2719487/
,,,,Thyme,2 TBSP,$0.42,https://www.chefstore.com/p/mccormick-thyme-leaves_1011046/
,,,,Bay leaves,3 each,$0.12,https://www.chefstore.com/p/monarch-whole-bay-leaves_3249492/
,,,,Salt,2 TBSP,$0.02,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Black pepper,2 TBSP,$1.09,https://www.chefstore.com/p/monarch-coarse-ground-black-pepper_2900491/

Trident Sub,100,$72.28,$0.72,Garlic,2 heads,$1.06,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions,10 chopped (~5 lb),$1.09,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Vegetable oil,1/2 cup,$0.21,https://www.chefstore.com/p/harvest-value-clear-vegetable-frying-oil_1328699/
,,,,Thyme,1 TBSP,$0.21,https://www.chefstore.com/p/mccormick-thyme-leaves_1011046/
,,,,Cayenne,2 tsp,$0.17,https://www.chefstore.com/p/mccormick-ground-cayenne-pepper_1011227/
,,,,Salt,2 TBSP,$0.02,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Black pepper,2 TBSP,$1.09,https://www.chefstore.com/p/monarch-coarse-ground-black-pepper_2900491/
,,,,Crushed tomatoes,52.5 oz,$3.92,https://www.chefstore.com/p/summer-inside-crushed-tomato-in-puree_7298729/
,,,,Squash,5 each,$4.66,https://www.chefstore.com/p/baloian-farms-yellow-squash_9312987/
,,,,Fresh herbs/veg,~7.5 lb,$11.25,https://www.chefstore.com/search/produce/
,,,,Root vegetables,13 each,$10.40,https://www.chefstore.com/search/produce/
,,,,Leafy greens,2 bunches,$5.00,https://www.chefstore.com/search/produce/
,,,,Cabbage,2 each,$4.12,https://www.chefstore.com/p/true-leaf-green-cabbage_1021396/
,,,,Hoagie rolls,100 each,$29.08,https://www.chefstore.com/p/bimbo-francisco-seeded-hoagie-roll_5056048/

Potato Pea Curry,100,$88.02,$0.88,Salt (parboil),1/4 cup,$0.05,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Potatoes,50 lb,$12.99,https://www.chefstore.com/p/russet-potatoes-2_2055960/
,,,,Vegetable oil,2 cups,$0.83,https://www.chefstore.com/p/harvest-value-clear-vegetable-frying-oil_1328699/
,,,,Garlic,4 heads,$2.12,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions,15 diced (~7.5 lb),$1.63,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Nutritional yeast*,6 cups (~2.1 lb),$20.41,https://www.webstaurantstore.com/bobs-red-mill-25-lb-large-flake-nutritional-yeast/1041594B25.html
,,,,Curry powder,6 cups (~2.1 lb),$20.13,https://www.chefstore.com/p/monarch-curry-powder_2693684/
,,,,Salt (curry),4 TBSP,$0.05,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Frozen peas,15.6 lb,$21.81,https://www.chefstore.com/p/garden-fresh-green-peas_6179532/
,,,,Margarine,6 lb,$8.00,https://www.chefstore.com/p/glenview-farms-margarine-prints_4307499/

Hummus,100,$117.49,$1.17,Chickpeas (dried),20 lb,$27.18,https://www.chefstore.com/p/fiesta-garbanzo-beans_8550353/
,,,,Salt,3 TBSP,$0.04,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Tahini,20 cups (~11 lb),$71.09,https://www.chefstore.com/p/acme-festival-organic-tahini_2837996/
,,,,Lemons,50 each,$15.00,https://www.chefstore.com/p/lemons-115-count_7265754/
,,,,Garlic,2 heads,$1.06,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Parsley,10 cups (~3 bunches),$2.50,https://www.chefstore.com/p/river-fresh-farms-italian-parsley-bunch_7216323/
,,,,Vegetable oil,1-2 cups,$0.62,https://www.chefstore.com/p/harvest-value-clear-vegetable-frying-oil_1328699/

Cauliflower Curry,100,$118.48,$1.18,Vegetable oil,4 cups,$1.66,https://www.chefstore.com/p/harvest-value-clear-vegetable-frying-oil_1328699/
,,,,Garlic,2 heads,$1.06,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions,20 chopped (~10 lb),$2.18,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Cauliflower,24 heads,$94.18,https://www.chefstore.com/p/tanimura-antle-cauliflower_6681788/
,,,,Curry powder,4 cups (~1.4 lb),$13.42,https://www.chefstore.com/p/monarch-curry-powder_2693684/
,,,,Cumin,1 cup (~0.35 lb),$2.97,https://www.chefstore.com/p/monarch-ground-cumin_8602175/
,,,,Tamari,1 cup,$1.67,https://www.chefstore.com/p/kikkoman-gluten-free-tamari-soy-sauce_9841289/
,,,,White pepper,4 TBSP,$1.34,https://www.chefstore.com/p/monarch-ground-white-pepper_8820572/

